prod_reg_id,date,value
pas_17,2019-09-01,2275000000.0
pas_0,2019-10-01,16016000000.0
pas_1,2019-10-01,8171000000.0
pas_2,2019-10-01,17294000000.0
pas_3,2019-10-01,30374000000.0
pas_4,2019-10-01,7086000000.0
pas_5,2019-10-01,694886000000.0
pas_6,2019-10-01,11866000000.0
pas_7,2019-10-01,2698000000.0
pas_8,2019-10-01,437000000.0
pas_9,2019-10-01,6307000000.0
pas_10,2019-10-01,6789000000.0
pas_11,2019-10-01,26909000000.0
pas_12,2019-10-01,11605000000.0
pas_13,2019-10-01,509000000.0
pas_14,2019-10-01,184000000.0
pas_15,2019-10-01,50628000000.0
pas_16,2019-10-01,71647000000.0
pas_17,2019-10-01,1824000000.0
pas_0,2019-11-01,16837000000.0
pas_1,2019-11-01,8764000000.0
pas_2,2019-11-01,17966000000.0
pas_3,2019-11-01,28762000000.0
pas_4,2019-11-01,7122000000.0
pas_5,2019-11-01,617790000000.0
pas_6,2019-11-01,11384000000.0
pas_7,2019-11-01,3129000000.0
pas_8,2019-11-01,501000000.0
pas_9,2019-11-01,9552000000.0
pas_10,2019-11-01,6460000000.0
pas_11,2019-11-01,21126000000.0
pas_12,2019-11-01,12667000000.0
pas_13,2019-11-01,442000000.0
pas_13,2019-11-01,442000000.0
pas_14,2019-11-01,170000000.0
pas_15,2019-11-01,53931000000.0
pas_16,2019-11-01,74747000000.0
pas_17,2019-11-01,2164000000.0
pas_0,2019-12-01,18948000000.0
pas_1,2019-12-01,8313000000.0
pas_2,2019-12-01,19044000000.0
pas_3,2019-12-01,32367000000.0
pas_4,2019-12-01,7189000000.0
pas_5,2019-12-01,603017000000.0
pas_6,2019-12-01,11999000000.0
pas_7,2019-12-01,3598000000.0
pas_8,2019-12-01,462000000.0
pas_9,2019-12-01,10534000000.0
pas_10,2019-12-01,7394000000.0
pas_11,2019-12-01,23366000000.0
pas_12,2019-12-01,21082000000.0
pas_13,2019-12-01,463000000.0
pas_14,2019-12-01,197000000.0
pas_15,2019-12-01,59706000000.0
